Locals,Area,Bath,Floor,Zone,Price
5+,360,3,A,Vigna Stelluti,2300000
3,80,1,A,La Rustica,155000
2,77,1,0,Mezzocammino,219000
2,67,1,3,Villa Gordiani,189000
3,60,1,0,Morena,199000
5+,281,3+,4,Piccolomini,957000
2,70,1,0,San Basilio,179000
3,85,1,0,Furio Camillo,365000
3,80,1,A,La Rustica,155000
3,76,2,A,Monti Tiburtini,389000
2,55,1,4,Monti Tiburtini,265000
3,70,1,2,Casaletto,230000
3,70,1,2,Casaletto,230000
2,60,1,3,Trastevere,319000
5,160,2,1,Monteverde Vecchio,749000
5,110,1,3,Piccolomini,425000
3,68,1,3,Magliana,185000
3,80,1,2,Esquilino,295000
4,108,1,4,Ostia Ponente,297000
3,95,1,A,Tor Vergata,179000
2,56,2,2,Val Cannuta,260000
1,27,1,0,Mezzocammino,89000
4,113,2,3,Monte Sacro,340000
4,110,2,1,Monteverde Vecchio,449000
3,95,1,A,Tor Vergata,179000
2,45,1,2,Appio Latino,195000
3,92,1,1,Piazzale degli Eroi,360000
4,123,2,0,Casalotti,284000
4,120,2,2,San Giovanni,300000
2,70,1,7,Marconi,245000
3,90,1,3,San Giovanni,328000
2,85,1,1,Spinaceto,169000
2,80,2,2,Monteverde Vecchio,495000
3,85,2,1,Anagnina,199000
3,66,1,S,Monteverde Vecchio,205000
3,110,1,3,Balduina,385000
4,100,3,3,Furio Camillo,650000
3,65,1,1,Settecamini,135000
3,104,1,5,Montagnola,289000
2,45,1,3,Primavalle,205000
3,70,2,A,Settebagni,199000
5,120,2,4,Cinecittà,295000
3,74,1,0,Magliana,229000
3,100,2,1,Villa Bonelli,439000
4,120,2,A,Casalotti,165000
3,70,2,A,Settebagni,199000
3,122,2,1,Dragona,175000
3,110,1,7,Valli,330000
4,150,2,2,Rocca Cencia,169000
3,75,2,1,Torre Spaccata,249000
2,30,1,3,San Lorenzo,149000
2,75,1,A,Colle del Sole,199000
2,55,1,2,Balduina,279000
4,110,1,3,Marconi,285000
3,90,2,3,San Basilio,213000
3,109,2,1,Monteverde Vecchio,419000
2,65,1,3,Centocelle,129000
2,80,1,6,Pigneto,109000
3,105,2,0,San Basilio,295000
2,65,1,0,Policlinico,430000
3,85,2,2,Casal Monastero,190000
3,85,2,2,Casal Monastero,190000
2,42,1,4,Torre Spaccata,245000
5,155,1,6,Colle Oppio,880000
3,131,2,A,Bravetta,399000
2,50,1,0,Morena,130000
3,110,1,A,Bravetta,209000
3,112,1,3,Flaminio,550000
2,50,1,1,Torre Angela,110000
5,168,2,1,Balduina,469000
2,60,1,2,Casalotti,155000
5+,186,2,1,Balduina,540000
3,100,2,0,Tor Vergata,169000
3,70,1,2,Bravetta,175000
3,85,1,0,Ostia Antica,205000
3,80,1,1,Magliana,230000
3,90,1,3,Centocelle,205000
3,90,1,R,Casal Bruciato,239000
2,58,1,1,Cinecittà,219000
2,30,1,0,Torpignattara,89000
4,134,1,5,Torre Spaccata,257000
3,97,1,1,Centocelle,245000
2,70,1,2,Centocelle,144000
1,44,1,R,Centocelle,94000
3,113,2,7,Torre Spaccata,269000
3,77,1,3,Centocelle,198000
5+,280,3,5,Euclide,1600000
1,30,1,0,Tintoretto,179000
3,123,2,3,Piccolomini,460000
3,75,1,0,Torre Spaccata,199000
3,90,1,1,Arco di Travertino,260000
2,50,1,0,Torpignattara,129000
4,120,2,4,Serpentara,310000
3,80,1,1,Quadraro,199000
4,140,2,1,Corviale,465000
3,90,2,6,Cinecittà,279000
3,100,2,1,Furio Camillo,420000
4,190,2,3,Mostacciano,599000
3,105,1,5,San Lorenzo,279000
2,75,1,5,Monti Tiburtini,234000
4,180,2,1,Bologna,795000
3,103,2,1,Casaletto,399000
2,50,1,3,Arco di Travertino,165000
4,120,2,2,Esquilino,550000
2,60,1,1,San Basilio,149000
2,60,1,5,Pigneto,120000
3,100,1,3,Marconi,295000
3,80,1,3,Casaletto,299000
3,65,1,0,La Rustica,205000
